NRO_RADICADO;FECHA_ACCIDENTE;HORA_ACCIDENTE;Día de la semana;AÑO;MES;CLASE_VEHICULO;TIPO_SERVICIO;TIPO_VICTIMA;EDAD;GENERO;GRAVEDAD;ESTADO_BEODEZ;ESTADO_DROGA;RESULTADO_BEODEZ;RESUL_BEODEZ_GRAMOS;DIRECCION_CARACT_VIA;TRAMO_VIA;LOCALIDAD_O_COMUNA;    GEORREFERENCIACIÓN;DESC_CLASE_ACCIDENTE;DESC_CHOQUE_ACCIDENTE;DESC_OBJETO_FIJO;DESC_SECTOR_ACCIDENTE;CONDICION_CLIMATICA;CAUSA_ACCIDENTE
2173901;2/01/2018;10:50:00 p. m.;Martes;2018;Enero;MOTOCICLETA;DIPLOMATICO;Motociclista;19;MASCULINO;HERIDOS;0;0;0;0;TRANSVERSAL 34 C SUR CON DIAGONAL 32;;OBRERO;6.172124153467526, -75.5812525681186;CHOQUE;VEHICULO;NO REPORTADO;COMERCIAL;Normal;Desobedecer señales
2180000;2/01/2018;8:40:00 p. m.;Martes;2018;Enero;BUS;PUBLICO;Pasajero;21;FEMENINO;HERIDOS;0;0;0;0;CALLE 37 SURCON CARRERA 36;;MESA;6.168280395747758, -75.58332019343861;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Lluvia;Desobedecer señales
2180000;2/01/2018;8:40:00 p. m.;Martes;2018;Enero;AUTOMOVIL;PARTICULAR;Conductor;31;MASCULINO;HERIDOS;0;0;0;0;CALLE 37 SURCON CARRERA 36;;MESA;6.168280395747758, -75.58332019343861;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Lluvia;Desobedecer señales
2180005;1/01/2018;7:00:00 p. m.;Lunes;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;15;FEMENINO;HERIDOS;0;0;0;0;CARRERA 48 CON CALLE 25 A SUR;;LAS VEGAS;6.185400850933313, -75.58369129945635;CHOQUE;VEHICULO;NO REPORTADO;COMERCIAL;Lluvia;No respetar prelacion
2180008;3/01/2018;9:00:00 a. m.;Miércoles;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;20;FEMENINO;HERIDOS;0;0;0;0;TRANSVERSAL 34 SUR CON DIAGONAL 31 E;;LA MAGNOLIA;6.173760854570752, -75.58103891883675;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;Impericia en el manejo
2180011;3/01/2018;10:45:00 p. m.;Miércoles;2018;Enero;MOTOCICLETA;DIPLOMATICO;Motociclista;41;MASCULINO;HERIDOS;0;0;0;0;CARRERA 50 CON CALLE 25 AA SUR;;LAS VEGAS;6.185702, -75.586148;CHOQUE;VEHICULO;NO REPORTADO;INDUSTRIAL;Normal;Embriaguez aparente
2180018;3/01/2018;9:00:00 a. m.;Miércoles;2018;Enero;CAMIONETA;PARTICULAR;Conductor;46;FEMENINO;HERIDOS;0;0;0;0;CALLE 36 AA SUR CON CARRERA 25 B 150 CASA 118;;VEREDA SANTA CATALINA;6.161394764789896, -75.56502353576704;CHOQUE;OBJETO FIJO;INMUEBLE;RESIDENCIAL;Normal;Impericia en el manejo
2180020;3/01/2018;9:30:00 p. m.;Miércoles;2018;Enero;AUTOMOVIL;PUBLICO;Acompañante;57;FEMENINO;HERIDOS;0;0;0;0;TRANSVERSAL 32 A SUR CON DIAGONAL 33;;LA MAGNOLIA;6.175029759197726, -75.58464621857274;ATROPELLO;NO REPORTADO;NO REPORTADO;RESIDENCIAL;Lluvia;Reverso imprudente
2180021;4/01/2018;6:00:00 a. m.;Jueves;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;35;MASCULINO;HERIDOS;0;0;0;0;CARRERA 50 CON CALLE 23 SUR;;LAS VEGAS;6.187524, -75.583868;CAIDA OCUPANTE;NO REPORTADO;NO REPORTADO;INDUSTRIAL;Normal;Impericia en el manejo
2180022;4/01/2018;8:00:00 a. m.;Jueves;2018;Enero;MOTOCICLETA;PARTICULAR;Acompañante;18;FEMENINO;HERIDOS;0;0;0;0;CARRERA 48 CON CALLE 49 D SUR;;LAS CASITAS;6.163348131256726, -75.60251593624304;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;No mantener distancia de seguridad
